antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'RefBks', 'YouthBks'})","frozenset({'ChildBks', 'CookBks'})",0.08125,0.242,0.05525,0.6799999999999999,2.809917355371901,1.0,0.0355875,2.3687499999999995,0.7010804321728692,0.20615671641791047,0.5778364116094986,0.45415289256198343
"frozenset({'RefBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.0925,0.242,0.06125,0.6621621621621622,2.736207281661827,1.0,0.038865,2.24368,0.6992072862202732,0.22415370539798718,0.5543036440134066,0.4576306678579406
"frozenset({'YouthBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.10325,0.242,0.067,0.6489104116222761,2.681447981910232,1.0,0.04201350000000001,2.1589931034482768,0.6992664222794587,0.2407906558849955,0.5368211235122377,0.4628849578772538
"frozenset({'GeoBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.08175,0.242,0.05025,0.6146788990825688,2.5399954507544167,1.0,0.030466500000000004,1.9671904761904762,0.6602760767358417,0.1837294332723949,0.4916608167316211,0.4111617635908712
"frozenset({'GeoBks', 'YouthBks'})","frozenset({'ChildBks', 'CookBks'})",0.1045,0.242,0.06325,0.6052631578947368,2.5010874293170944,1.0,0.037961,1.9202666666666666,0.6702109581725051,0.22330097087378642,0.47923899458408553,0.4333133971291866
"frozenset({'GeoBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.101,0.242,0.0605,0.599009900990099,2.4752475247524752,1.0,0.03605799999999999,1.890320987654321,0.6629588431590655,0.21415929203539824,0.4709893152903681,0.4245049504950495
"frozenset({'GeoBks', 'ChildBks', 'CookBks'})",frozenset({'YouthBks'}),0.1095,0.23825,0.06325,0.5776255707762558,2.4244515037828154,1.0,0.037161625000000004,1.8034945945945948,0.6597816654941379,0.2223198594024605,0.44552093308336826,0.421551505220237
"frozenset({'ChildBks', 'RefBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1035,0.25475,0.06125,0.5917874396135266,2.323012520563402,1.0,0.034883375,1.8256420118343197,0.6352755045130155,0.20622895622895626,0.45224748690174665,0.41610961774591937
"frozenset({'GeoBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.101,0.23825,0.0545,0.5396039603960395,2.264864471756724,1.0,0.03043675,1.65455376344086,0.6212152136420691,0.19139596136962247,0.3956074307791789,0.3841776360217344
"frozenset({'ChildBks', 'RefBks', 'CookBks'})",frozenset({'YouthBks'}),0.1035,0.23825,0.05525,0.533816425120773,2.240572613308596,1.0,0.030591125000000004,1.6340129533678758,0.6176079424004363,0.19284467713787087,0.38800974745096556,0.3828578452991063
"frozenset({'ChildBks', 'DoItYBks', 'CookBks'})",frozenset({'YouthBks'}),0.12775,0.23825,0.067,0.5244618395303327,2.201308875258479,1.0,0.03656356250000001,1.601869341563786,0.6256518354059455,0.22408026755852845,0.3757293594096917,0.40283952417230173
"frozenset({'ChildBks', 'YouthBks', 'CookBks'})",frozenset({'DoItYBks'}),0.12,0.25475,0.067,0.5583333333333333,2.191691200523389,1.0,0.036430000000000004,1.6873584905660377,0.617876526458616,0.21770917952883836,0.40735770994073583,0.41066813869807006
"frozenset({'ChildBks', 'RefBks'})",frozenset({'DoItYBks'}),0.12825,0.25475,0.071,0.5536062378167641,2.173135379064825,1.0,0.038328312499999996,1.6694901746724888,0.6192548176930813,0.22756410256410253,0.4010147437997506,0.41615542509091397
"frozenset({'GeoBks', 'ChildBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1095,0.25475,0.0605,0.5525114155251142,2.1688377449464737,1.0,0.032604875000000005,1.665405612244898,0.6051920872756973,0.1991769547325103,0.3995456766522834,0.3949995742983765
"frozenset({'GeoBks', 'ChildBks'})",frozenset({'YouthBks'}),0.14625,0.23825,0.0755,0.5162393162393163,2.166796710343405,1.0,0.0406559375,1.57464222614841,0.6307341006273453,0.24433656957928807,0.36493510500730725,0.4165666675635197
"frozenset({'GeoBks', 'CookBks'})",frozenset({'YouthBks'}),0.15625,0.23825,0.08025,0.5136000000000001,2.155718782791186,1.0,0.043023437500000004,1.5660978618421055,0.6353986385139034,0.2553699284009547,0.36147029865441427,0.42521552990556144
"frozenset({'ChildBks', 'YouthBks', 'RefBks'})",frozenset({'CookBks'}),0.062,0.4155,0.05525,0.8911290322580645,2.144714879080781,1.0,0.029489,5.368740740740741,0.5690165848199211,0.13084665482534044,0.8137365821352686,0.5120506773805364
"frozenset({'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.1475,0.25475,0.08025,0.5440677966101696,2.1356930190781926,1.0,0.04267437500000001,1.6345631970260226,0.6237746777391034,0.24922360248447206,0.38821576197272006,0.42954125846210145
"frozenset({'CookBks', 'RefBks'})",frozenset({'DoItYBks'}),0.13975,0.25475,0.0745,0.5330948121645795,2.0926194785655725,1.0,0.038898687499999994,1.59614846743295,0.6069515066051112,0.23281250000000003,0.37349186469584644,0.41276919214705915
frozenset({'RefBks'}),"frozenset({'ChildBks', 'CookBks'})",0.20475,0.242,0.1035,0.5054945054945055,2.0888202706384527,1.0,0.0539505,1.5328444444444445,0.6554679277777018,0.30152949745083757,0.34761808112731596,0.4665902279538643
"frozenset({'CookBks', 'RefBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.0745,0.394,0.06125,0.8221476510067114,2.0866691649916533,1.0,0.031896999999999995,3.407320754716981,0.5626875709765267,0.15039901780233272,0.7065142755886327,0.48880225189929477
frozenset({'YouthBks'}),"frozenset({'ChildBks', 'CookBks'})",0.23825,0.242,0.12,0.503672612801679,2.08129178843669,1.0,0.0623435,1.527217758985201,0.6820205666776064,0.3331020124913255,0.34521452876210945,0.49977019069836015
"frozenset({'ChildBks', 'RefBks', 'DoItYBks'})",frozenset({'CookBks'}),0.071,0.4155,0.06125,0.8626760563380282,2.0762359960000683,1.0,0.0317495,4.256358974358977,0.5579754399068562,0.14403292181069957,0.7650574103302451,0.5050444060270165
"frozenset({'ChildBks', 'CookBks'})",frozenset({'DoItYBks'}),0.242,0.25475,0.12775,0.5278925619834711,2.072198476873292,1.0,0.0661005,1.5785601750547047,0.6826131182584719,0.3462059620596206,0.3665113210110314,0.5146822966934039
frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'CookBks'})",0.25475,0.242,0.12775,0.5014720314033366,2.0721984768732917,1.0,0.0661005,1.520476377952756,0.6942915043809752,0.3462059620596206,0.342311387075642,0.5146822966934039
"frozenset({'RefBks', 'YouthBks', 'CookBks'})",frozenset({'ChildBks'}),0.06825,0.394,0.05525,0.8095238095238094,2.054628958182257,1.0,0.028359499999999996,3.1814999999999984,0.5508925330260894,0.13574938574938575,0.6856828539996855,0.4748761179598743
"frozenset({'GeoBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.1045,0.25475,0.0545,0.521531100478469,2.0472270872560117,1.0,0.027878625000000004,1.5575725,0.5712276981236458,0.17883511074651356,0.3579753109405823,0.3677331655483611
"frozenset({'CookBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.161,0.25475,0.08375,0.5201863354037267,2.041948323468996,1.0,0.04273525000000001,1.5532071197411004,0.6081902762706136,0.25225903614457834,0.3561708626685364,0.42447000774111754
"frozenset({'GeoBks', 'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.05925,0.4155,0.05025,0.8481012658227849,2.041158281161937,1.0,0.025631625000000005,3.8479583333333354,0.5422079081076151,0.11837455830388693,0.7401219261296577,0.48451994699081485
"frozenset({'CookBks', 'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.08375,0.394,0.067,0.8,2.030456852791878,1.0,0.0340025,3.0300000000000007,0.553888130968622,0.1631162507608034,0.6699669966996701,0.4850253807106599
"frozenset({'RefBks', 'YouthBks'})",frozenset({'CookBks'}),0.08125,0.4155,0.06825,0.8400000000000001,2.021660649819495,1.0,0.034490625000000004,3.653125000000002,0.5500485908649175,0.1592765460910152,0.726261762189906,0.5021299638989171
"frozenset({'GeoBks', 'ChildBks', 'YouthBks'})",frozenset({'CookBks'}),0.0755,0.4155,0.06325,0.837748344370861,2.01624150269762,1.0,0.031879750000000005,3.602428571428573,0.545189473211671,0.1478667445938048,0.7224094856644329,0.4949872889122656
"frozenset({'ChildBks', 'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.08025,0.4155,0.067,0.8348909657320872,2.0093645384647107,1.0,0.033656125,3.540084905660377,0.5461595258283197,0.15626822157434406,0.7175208994560944,0.4980712349719401
"frozenset({'ChildBks', 'ArtBks'})",frozenset({'DoItYBks'}),0.10525,0.25475,0.05375,0.5106888361045131,2.0046666775447033,1.0,0.0269375625,1.5230594660194174,0.5601161816019806,0.17551020408163268,0.3434268179865993,0.36084000195804655
"frozenset({'GeoBks', 'CookBks', 'YouthBks'})",frozenset({'ChildBks'}),0.08025,0.394,0.06325,0.7881619937694704,2.000411151699163,1.0,0.0316315,2.860676470588235,0.5437377187261963,0.15389294403892942,0.6504323329529215,0.4743474943466641
"frozenset({'GeoBks', 'CookBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.0775,0.394,0.0605,0.7806451612903226,1.9813328966759456,1.0,0.029965,2.7626470588235295,0.5368989227082354,0.14720194647201945,0.6380283189609284,0.46709923039135415
"frozenset({'GeoBks', 'ChildBks'})",frozenset({'DoItYBks'}),0.14625,0.25475,0.07375,0.5042735042735043,1.97948382442985,1.0,0.0364928125,1.5033491379310344,0.5795816065712087,0.22536287242169595,0.33481852301040493,0.39688650679818493
"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'GeoBks'}),0.10325,0.26675,0.0545,0.5278450363196127,1.978800511038848,1.0,0.0269580625,1.5529858974358977,0.551595593670313,0.17274167987321712,0.3560791494300889,0.36607809454218687
"frozenset({'GeoBks', 'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.0645,0.394,0.05025,0.7790697674418605,1.9773344351316255,1.0,0.024837,2.7429473684210532,0.5283470408513286,0.12308634415186774,0.6354286591449844,0.4533039192539252
"frozenset({'ChildBks', 'YouthBks', 'CookBks'})",frozenset({'GeoBks'}),0.12,0.26675,0.06325,0.5270833333333333,1.9759450171821307,1.0,0.031240000000000004,1.5504845814977972,0.5612648221343874,0.1955177743431221,0.3550403454938062,0.38209836769759453
"frozenset({'GeoBks', 'ChildBks', 'DoItYBks'})",frozenset({'CookBks'}),0.07375,0.4155,0.0605,0.8203389830508475,1.9743417161271903,1.0,0.029856875,3.2533490566037746,0.5327957528914467,0.14110787172011663,0.6926244363573097,0.4829733423076139
"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.10325,0.394,0.08025,0.7772397094430993,1.9726896178758864,1.0,0.0395695,2.7204130434782607,0.5498498819291193,0.19244604316546762,0.6324087614572595,0.49045995624439226
"frozenset({'ChildBks', 'YouthBks'})",frozenset({'CookBks'}),0.1475,0.4155,0.12,0.8135593220338984,1.9580248424401887,1.0,0.05871375,3.1350454545454554,0.5739369501466276,0.2708803611738149,0.6810253584840006,0.5511839931469131
"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.10325,0.4155,0.08375,0.8111380145278452,1.952197387551974,1.0,0.04084962500000001,3.0948525641025664,0.5439160484169618,0.19252873563218395,0.6768828306721046,0.5063511973962932
"frozenset({'RefBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.0925,0.394,0.071,0.7675675675675675,1.9481410344354504,1.0,0.034554999999999995,2.6072093023255807,0.5362976758623366,0.17087845968712392,0.6164481312996163,0.47388530662642336
"frozenset({'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.12825,0.4155,0.1035,0.8070175438596491,1.9422804906369413,1.0,0.050212124999999996,3.0287727272727265,0.5565142579269584,0.23509369676320271,0.6698332657992285,0.5280575083919183
"frozenset({'RefBks', 'DoItYBks'})",frozenset({'CookBks'}),0.0925,0.4155,0.0745,0.8054054054054054,1.938400494357173,1.0,0.03606625,3.0036805555555555,0.5334553589587148,0.17185697808535177,0.6670751161769126,0.49235372556672197
"frozenset({'RefBks', 'YouthBks'})",frozenset({'ChildBks'}),0.08125,0.394,0.062,0.7630769230769231,1.936743459586099,1.0,0.0299875,2.557792207792208,0.5264428351985956,0.1500302480338778,0.609037826859609,0.46021866458414684
"frozenset({'CookBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.16875,0.394,0.12775,0.757037037037037,1.921413799586388,1.0,0.0612625,2.49420731707317,0.5769021379279902,0.2936781609195402,0.5990710182129323,0.54063780785862
"frozenset({'ChildBks', 'YouthBks'})",frozenset({'GeoBks'}),0.1475,0.26675,0.0755,0.511864406779661,1.9188918717138184,1.0,0.036154375,1.5021440972222222,0.5617195238002758,0.22287822878228783,0.3342849052569534,0.39745047892872465
"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1615,0.4155,0.12775,0.7910216718266254,1.9037826036741887,1.0,0.06064675,2.7969407407407414,0.5661657021962851,0.28436282693377857,0.6424665044082556,0.5492412811600035
"frozenset({'GeoBks', 'RefBks'})",frozenset({'CookBks'}),0.08175,0.4155,0.0645,0.7889908256880734,1.8988948873359168,1.0,0.030532875,2.7700217391304354,0.5155218153844205,0.1490467937608319,0.638992002888064,0.4721127413638923
"frozenset({'CookBks', 'YouthBks'})",frozenset({'ChildBks'}),0.161,0.394,0.12,0.7453416149068323,1.8917299870731783,1.0,0.05656599999999999,2.3796585365853655,0.561839491458085,0.2758620689655172,0.5797716417604493,0.524955071412807
"frozenset({'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.13975,0.394,0.1035,0.7406082289803219,1.8797163172089386,1.0,0.04843849999999999,2.3362344827586194,0.5440335145804991,0.2405578152237071,0.5719607738949205,0.5016492921551355
"frozenset({'GeoBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.101,0.394,0.07375,0.7301980198019801,1.8532944665024873,1.0,0.03395599999999999,2.246091743119265,0.5121472068776983,0.17507418397626112,0.5547822108943565,0.45869038045936567
"frozenset({'GeoBks', 'YouthBks'})",frozenset({'CookBks'}),0.1045,0.4155,0.08025,0.7679425837320575,1.8482372652997774,1.0,0.03683025000000001,2.5187731958762893,0.5125001956824623,0.1824900511654349,0.6029813237503122,0.48054168897794214
"frozenset({'GeoBks', 'DoItYBks'})",frozenset({'CookBks'}),0.101,0.4155,0.0775,0.7673267326732672,1.846755072619175,1.0,0.0355345,2.5121063829787222,0.5100218881194158,0.17653758542141232,0.6019276863528952,0.476924497503902
"frozenset({'GeoBks', 'RefBks'})",frozenset({'ChildBks'}),0.08175,0.394,0.05925,0.7247706422018348,1.8395193964513574,1.0,0.027040499999999995,2.2018,0.49701034232011215,0.14225690276110445,0.5458261422472522,0.43757567643086664
"frozenset({'GeoBks', 'YouthBks'})",frozenset({'ChildBks'}),0.1045,0.394,0.0755,0.722488038277512,1.8337259854759187,1.0,0.034326999999999996,2.183689655172414,0.5077188739873022,0.17848699763593381,0.5420594691048052,0.4570562018798727
"frozenset({'DoItYBks', 'ArtBks'})",frozenset({'ChildBks'}),0.0745,0.394,0.05375,0.7214765100671141,1.8311586549926753,1.0,0.024397,2.175759036144578,0.49043508851280887,0.1295961422543701,0.5403902806388021,0.4289489149320342
"frozenset({'GeoBks', 'ChildBks'})",frozenset({'CookBks'}),0.14625,0.4155,0.1095,0.7487179487179487,1.8019685889721992,1.0,0.04873312500000001,2.326071428571429,0.5212900379068975,0.24212271973466004,0.57009058805466,0.5061279274275664
"frozenset({'YouthBks', 'ArtBks'})",frozenset({'CookBks'}),0.0695,0.4155,0.0515,0.7410071942446043,1.7834108164731752,1.0,0.022622749999999997,2.256819444444444,0.47208672652243544,0.11880046136101499,0.5568985359189124,0.43247712299474494
"frozenset({'GeoBks', 'CookBks'})",frozenset({'ChildBks'}),0.15625,0.394,0.1095,0.7008,1.7786802030456852,1.0,0.047937499999999994,2.0254010695187166,0.5188567562996785,0.24844015882019282,0.5062706270627062,0.4893593908629441
"frozenset({'DoItYBks', 'ArtBks'})",frozenset({'CookBks'}),0.0745,0.4155,0.053,0.7114093959731543,1.7121766449414064,1.0,0.022045250000000002,2.025360465116279,0.4494307003863287,0.12128146453089245,0.5062607287821289,0.41948327801064456
"frozenset({'ChildBks', 'ArtBks'})",frozenset({'CookBks'}),0.10525,0.4155,0.07325,0.6959619952494062,1.6749987851971269,1.0,0.029518625,1.92245703125,0.4503879761254264,0.16368715083798882,0.4798323272017214,0.4361278086957019
"frozenset({'CookBks', 'ArtBks'})",frozenset({'ChildBks'}),0.113,0.394,0.07325,0.6482300884955752,1.6452540317146578,1.0,0.02872799999999999,1.7227169811320753,0.4421545955804548,0.16887608069164264,0.4195215981775168,0.41707189703966574
frozenset({'RefBks'}),frozenset({'CookBks'}),0.20475,0.4155,0.13975,0.6825396825396827,1.6426947834890078,1.0,0.05467637500000003,1.841175000000001,0.4919763420892949,0.29084287200832476,0.45686857577362305,0.5094407197295285
"frozenset({'GeoBks', 'ArtBks'})",frozenset({'CookBks'}),0.08125,0.4155,0.05525,0.6799999999999999,1.6365824308062575,1.0,0.021490625,1.8265624999999996,0.4233693477390956,0.12514156285390715,0.4525235243798117,0.40648616125150416
frozenset({'YouthBks'}),frozenset({'CookBks'}),0.23825,0.4155,0.161,0.6757607555089192,1.6263796763150884,1.0,0.06200712500000001,1.802681229773463,0.5055955659471592,0.3267376966007104,0.44527075365084556,0.5316228566954946
frozenset({'DoItYBks'}),frozenset({'ChildBks'}),0.25475,0.394,0.1615,0.6339548577036311,1.6090224814812972,1.0,0.061128500000000016,1.6555335120643437,0.5078894920668882,0.33145202668034895,0.3959651117221636,0.5219266674304958
frozenset({'DoItYBks'}),frozenset({'CookBks'}),0.25475,0.4155,0.16875,0.6624141315014721,1.5942578375486693,1.0,0.06290137500000002,1.7314113372093027,0.5001662380260168,0.33649052841475574,0.4224364952976426,0.5342756578084978
"frozenset({'GeoBks', 'ArtBks'})",frozenset({'ChildBks'}),0.08125,0.394,0.051,0.6276923076923077,1.5931276844982427,1.0,0.018987499999999997,1.627685950413223,0.40522875816993464,0.12021213906894518,0.38563087077938557,0.37856696602889495
frozenset({'RefBks'}),frozenset({'ChildBks'}),0.20475,0.394,0.12825,0.6263736263736265,1.5897807775980366,1.0,0.04757850000000001,1.6219411764705887,0.46649790146538944,0.2725823591923486,0.3834548289993836,0.4759406202934122
frozenset({'YouthBks'}),frozenset({'ChildBks'}),0.23825,0.394,0.1475,0.6190975865687304,1.5713136714942395,1.0,0.0536295,1.5909586776859506,0.4773086058529367,0.3042805569881382,0.37144816265467057,0.49673153440111645
frozenset({'ItalCook'}),frozenset({'CookBks'}),0.1075,0.4155,0.06875,0.6395348837209303,1.5391934626255843,1.0,0.024083750000000008,1.6215161290322582,0.3925031830914185,0.15134837644468904,0.38329321423597995,0.40249909047659027
frozenset({'ChildBks'}),frozenset({'CookBks'}),0.394,0.4155,0.242,0.6142131979695431,1.4782507773033529,1.0,0.078293,1.5150855263157894,0.5338692960205111,0.426431718061674,0.3399712540111944,0.598322002113532
frozenset({'CookBks'}),frozenset({'ChildBks'}),0.4155,0.394,0.242,0.5824308062575211,1.4782507773033529,1.0,0.078293,1.4512564841498559,0.5535069176876471,0.426431718061674,0.3109419245173615,0.598322002113532
frozenset({'ItalCook'}),frozenset({'ChildBks'}),0.1075,0.394,0.06025,0.5604651162790698,1.4225002951245427,1.0,0.017894999999999994,1.3787301587301588,0.3327870567314062,0.1365439093484419,0.27469491135160035,0.3566919490024791
frozenset({'GeoBks'}),frozenset({'CookBks'}),0.26675,0.4155,0.15625,0.5857544517338332,1.4097580065796227,1.0,0.04541537500000001,1.4109988687782808,0.39639740879645424,0.2970532319391635,0.2912822099808952,0.4809036999944738
frozenset({'GeoBks'}),frozenset({'ChildBks'}),0.26675,0.394,0.14625,0.5482661668228679,1.391538494474284,1.0,0.04115049999999999,1.3414979253112034,0.3837312515116811,0.28425655976676384,0.2545646317209041,0.4597295301119415
frozenset({'ArtBks'}),frozenset({'CookBks'}),0.223,0.4155,0.113,0.5067264573991032,1.219558260888335,1.0,0.0203435,1.184940909090909,0.23170009453195292,0.21503330161750717,0.15607606056305076,0.38934397478860094
